"","lat","lng"
"Marion Illinois",37.7306054,-88.9331256
"Marshall Illinois",39.3914252,-87.6936384
"Mason Illinois",38.9531001,-88.6236615
"Massac Illinois",37.2478298,-88.7493998
"Menard Illinois",37.9169037,-89.8399815
"Mercer Illinois",41.1985037,-90.6773046
"Monroe Illinois",38.2742526,-90.1869644
"Montgomery Illinois",41.730585,-88.3459048
"Adams Illinois",39.8653244,-91.1981974
"Alexander Illinois",39.7242387,-90.0390073
"Bond Illinois",38.902985,-89.4742177
"Boone Illinois",42.3484976,-88.8263006
"Brown Illinois",39.9379573,-90.7152749
"Bureau Illinois",41.3599156,-89.4742177
"Calhoun Illinois",38.6503262,-88.0436473
"Carroll Illinois",42.0385843,-89.9626799
"Cass Illinois",39.9398601,-90.2620042
"Champaign Illinois",40.1164204,-88.2433829
"Christian Illinois",39.5672183,-89.3226954
"Clark Illinois",39.3824189,-87.7763333
"Clay Illinois",38.7279431,-88.556531
"Clinton Illinois",40.1536479,-88.9645253
"Coles Illinois",39.5560011,-88.2461183
"Cook Illinois",41.7376587,-87.697554
"Crawford Illinois",39.0499568,-87.7763333
"Cumberland Illinois",39.2653533,-88.2071598
"De Kalb Illinois",41.9294736,-88.7503647
"Dewitt Illinois",40.1811468,-88.7861844
"Douglas Illinois",39.7617631,-88.2071598
"Du Page Illinois",41.8243831,-88.0900762
"Edgar Illinois",39.7131223,-87.7763333
"Edwards Illinois",40.7455683,-89.7489531
"Effingham Illinois",39.1200418,-88.5433829
"Fayette Illinois",39.0669568,-89.0179332
"Ford Illinois",40.7362445,-89.0303522
"Franklin Illinois",39.6203259,-90.0440001
"Fulton Illinois",41.8672508,-90.1595705
"Gallatin Illinois",37.7107751,-88.2461183
"McHenry Illinois",42.333355,-88.2667534
"Mclean Illinois",40.3144833,-89.169809
"Macon Illinois",39.7128155,-88.9970218
"Macoupin Illinois",39.2375268,-89.9253233
"Madison Illinois",38.6825502,-90.1570536
"Moultrie Illinois",39.6020543,-88.5951751
"Ogle Illinois",41.9969811,-89.3226954
"Peoria Illinois",40.6936488,-89.5889864
"Perry Illinois",39.7831031,-90.7454062
"Piatt Illinois",40.0543526,-88.556531
"Pike Illinois",39.5662363,-90.8294002
"Pope Illinois",37.417132,-88.5951751
"Pulaski Illinois",37.2136615,-89.2059111
"Putnam Illinois",41.1850275,-89.396345
"Randolph Illinois",38.0629321,-89.7755338
"Richland Illinois",38.7212791,-88.0900762
"Rock Island Illinois",41.5094771,-90.5787476
"St Clair Illinois",38.400812,-89.9253233
"Saline Illinois",37.7149675,-88.556531
"Sangamon Illinois",39.7337353,-89.6251646
"Schuyler Illinois",40.1844543,-90.6393702
"Scott Illinois",39.6094934,-90.4879916
"Shelby Illinois",39.3980704,-88.864698
"Stark Illinois",41.0795661,-89.8130356
"Stephenson Illinois",42.314489,-89.6251646
"Tazewell Illinois",40.5522078,-89.4742177
"Union Illinois",42.2330782,-88.5423132
"Vermilion Illinois",39.5811463,-87.5889125
"Wabash Illinois",38.4226484,-87.8156715
"Warren Illinois",42.4963957,-89.9895681
"Washington Illinois",40.7036482,-89.4073123
"Wayne Illinois",41.9508336,-88.242369
"White Illinois",38.0501137,-88.2461183
"Whiteside Illinois",41.7605503,-89.8505012
"Will Illinois",41.5054724,-88.0900762
"Williamson Illinois",38.9856018,-89.7639829
"Winnebago Illinois",42.2661311,-89.2412202
"Woodford Illinois",40.8467007,-89.028132
"Greene Illinois",39.4029862,-90.3748354
"Grundy Illinois",41.3500531,-88.4016041
"Hamilton Illinois",40.3964333,-91.3390389
"Hancock Illinois",40.3849365,-91.135302
"Hardin Illinois",39.1567149,-90.6178994
"Henderson Illinois",41.0250376,-90.356239
"Henry Illinois",41.1114249,-89.3564776
"Iroquois Illinois",40.8275356,-87.5819743
"Jackson Illinois",37.7218304,-89.3226954
"Jasper Illinois",39.0554965,-88.0900762
"Jefferson Illinois",38.2267348,-88.864698
"Jersey Illinois",39.0704754,-90.3748354
"Jo Daviess Illinois",42.3148804,-90.2244662
"Johnson Illinois",37.4203764,-88.90306
"Kane Illinois",39.190047,-90.353727
"Kankakee Illinois",41.1200325,-87.8611531
"Kendall Illinois",41.5507043,-88.4403883
"Knox Illinois",40.8776411,-90.2244662
"Lake Illinois",42.3689363,-87.8271534
"La Salle Illinois",41.3621503,-89.0418249
"Lawrence Illinois",42.4411294,-88.6412113
"Lee Illinois",41.7950293,-88.9414786
"Livingston Illinois",38.9675463,-89.7639827
"Logan Illinois",40.061338,-89.3226954
"McDonough Illinois",40.3885122,-90.6773046
"Morgan Illinois",39.7341219,-90.2244662
